slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-17 09:17:06 +0200,2016-06-17,9,17
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-17 09:16:49 +0200,2016-06-17,9,16
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-17 09:15:30 +0200,2016-06-17,9,15
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-17 09:14:55 +0200,2016-06-17,9,14
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-17 09:14:45 +0200,2016-06-17,9,14
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-17 09:14:35 +0200,2016-06-17,9,14
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-16 18:23:17 +0200,2016-06-16,18,23
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-16 18:23:04 +0200,2016-06-16,18,23
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-16 18:22:51 +0200,2016-06-16,18,22
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-16 18:22:27 +0200,2016-06-16,18,22
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 18:41:03 +0200,2016-06-13,18,41
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 18:39:39 +0200,2016-06-13,18,39
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-13 15:39:30 +0200,2016-06-13,15,39
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-13 15:39:23 +0200,2016-06-13,15,39
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 15:31:56 +0200,2016-06-13,15,31
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-13 14:37:22 +0200,2016-06-13,14,37
slack,C0ARU9CHZ,U0ARWTYAK,2016-06-28 12:04:46 +0200,4,communication,2016-06-13 14:09:47 +0200,2016-06-13,14,9
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 14:08:33 +0200,2016-06-13,14,8
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 12:52:28 +0200,2016-06-13,12,52
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 12:51:55 +0200,2016-06-13,12,51
slack,C0ARU9CHZ,U0ARWTYAK,2016-06-28 12:04:46 +0200,4,communication,2016-06-13 09:56:21 +0200,2016-06-13,9,56
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 09:50:23 +0200,2016-06-13,9,50
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 09:50:02 +0200,2016-06-13,9,50
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-13 09:49:50 +0200,2016-06-13,9,49
slack,C0ARU9CHZ,U0ARWTYAK,2016-06-28 12:04:46 +0200,4,communication,2016-06-13 09:48:44 +0200,2016-06-13,9,48
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-13 09:48:15 +0200,2016-06-13,9,48
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-12 23:21:33 +0200,2016-06-12,23,21
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-12 23:21:26 +0200,2016-06-12,23,21
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-12 22:36:29 +0200,2016-06-12,22,36
slack,C0ARU9CHZ,U0ARWTYAK,2016-06-28 12:04:46 +0200,4,communication,2016-06-12 22:26:25 +0200,2016-06-12,22,26
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-12 22:09:32 +0200,2016-06-12,22,9
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-12 22:09:25 +0200,2016-06-12,22,9
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-11 13:25:24 +0200,2016-06-11,13,25
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-11 13:25:10 +0200,2016-06-11,13,25
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-11 13:25:07 +0200,2016-06-11,13,25
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-11 13:25:00 +0200,2016-06-11,13,25
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-11 13:24:24 +0200,2016-06-11,13,24
slack,C0ARU9CHZ,U0C03E7N3,2016-06-28 12:04:46 +0200,3,communication,2016-06-10 17:00:02 +0200,2016-06-10,17,0
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-10 10:06:25 +0200,2016-06-10,10,6
slack,C0ARU9CHZ,U0BDES7NZ,2016-06-28 12:04:46 +0200,2,communication,2016-06-10 09:56:59 +0200,2016-06-10,9,56
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-09 22:16:33 +0200,2016-06-09,22,16
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-09 17:36:36 +0200,2016-06-09,17,36
slack,C0ARU9CHZ,U0AUD2XK4,2016-06-28 12:04:46 +0200,1,communication,2016-06-09 17:36:18 +0200,2016-06-09,17,36
